strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag,matfile
1,13,7623,2,3,22.5,1,64.163,1,../../simdata-nr=3/alpha_t/TotalDist/00013/7623/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,7623,3,0,59.5,0,54.231,1,../../simdata-nr=3/alpha_t/TotalDist/00013/7623/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,7623,4,3,117,1,10.046,1,../../simdata-nr=3/alpha_t/TotalDist/00013/7623/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,1870,1,2,76,1,223.74,1,../../simdata-nr=3/alpha_t/TotalDist/00014/1870/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,1870,2,0,68.5,0,63.257,1,../../simdata-nr=3/alpha_t/TotalDist/00014/1870/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,1870,3,0,147,0,154.28,1,../../simdata-nr=3/alpha_t/TotalDist/00014/1870/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,1870,4,0,180,0,16.458,1,../../simdata-nr=3/alpha_t/TotalDist/00014/1870/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,3907,1,2,12.5,1,278.96,1,../../simdata-nr=3/alpha_t/TotalDist/00014/3907/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,3907,2,2,20.5,1,81.143,1,../../simdata-nr=3/alpha_t/TotalDist/00014/3907/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,3907,3,0,54,0,48.94,1,../../simdata-nr=3/alpha_t/TotalDist/00014/3907/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,3907,4,0,120.5,0,12.064,1,../../simdata-nr=3/alpha_t/TotalDist/00014/3907/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,14,7667,1,0,210.5,0,205.14,0,../../simdata-nr=3/alpha_t/TotalDist/00014/7667/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
