strategy,run,pid,condition,succesfulrobot,timesec,succcess,expTime
1,42,7623,3,0,59.5,0,54.231
1,42,7623,4,0,171,0,10.046
1,43,2276,1,3,37,1,153.845814977974
1,43,2276,2,0,43.5,0,52.36
1,43,2276,3,0,76,0,70.952
1,43,2276,4,3,123,1,16.267
1,43,3472,1,0,149.5,0,126.286343612335
1,43,3472,2,0,41,0,47.274
1,43,3472,3,0,103,0,113.31
1,43,3472,4,2,13.5,1,48.932
1,43,8431,1,0,135,0,113.933920704846
1,43,8431,2,0,44.5,0,39.059
1,43,8431,3,0,131,0,138.04
1,43,8431,4,2,9.5,1,39.542
1,44,2241,1,3,93,1,201.775330396476
1,44,2241,2,2,19,1,43.006
1,44,2241,3,2,33.5,1,66.821
1,44,2241,4,0,26.5,0,18.399
1,44,7194,1,2,23,1,97.9162995594714
1,44,7194,2,0,57.5,0,52.19
1,44,7194,3,0,76,0,70.545
1,44,7194,4,3,20,1,35.919
1,44,7623,1,2,65,1,236.224669603524
1,44,7623,2,0,69.5,0,64.163
1,44,7623,3,0,59.5,0,54.231
1,44,7623,4,2,132,1,10.046
1,45,2276,1,2,7.5,1,153.845814977974
1,45,2276,2,0,43.5,0,52.36
1,45,2276,3,0,76,0,70.952
1,45,2276,4,2,30.5,1,16.267
1,45,6605,1,0,162,0,137.352422907489
1,45,6605,2,3,12.5,1,45.881
1,45,6605,3,0,48.5,0,68.863
1,45,6605,4,0,169,0,160.76
1,45,6801,1,3,8,1,139
1,45,6801,2,0,45,0,40.664
1,45,6801,3,0,65,0,61.086
1,45,6801,4,0,142.5,0,128.55
1,46,1251,1,3,18,1,186.674008810573
1,46,1251,2,0,55,0,71.126
1,46,1251,3,3,11,1,76.031
1,46,1251,4,0,66,0,55.286
1,46,2241,1,2,168.5,1,201.775330396476
1,46,2241,2,3,18,1,43.006
1,46,2241,3,2,7,1,66.821
1,46,2241,4,0,26.5,0,18.399
1,46,5834,1,0,197,0,168.136563876652
1,46,5834,2,0,69,0,63.765
1,46,5834,3,2,32,1,83.388
1,46,5834,4,0,157.5,0,47.019
1,47,1418,1,2,97,1,208.013215859031
1,47,1418,2,0,85,0,79.532
1,47,1418,3,2,43.5,1,275.09
1,47,1418,4,3,71.5,1,67.384
1,47,1870,1,3,18.5,1,196.533039647577
1,47,1870,2,0,68.5,0,63.257
1,47,1870,3,0,147,0,154.28
1,47,1870,4,0,180,0,16.458
1,47,3472,1,2,23.5,1,126.286343612335
1,47,3472,2,0,41,0,47.274
1,47,3472,3,3,48,1,113.31
1,47,3472,4,3,12,1,48.932
1,48,2241,1,3,32.5,1,201.775330396476
1,48,2241,2,0,48.5,0,43.006
1,48,2241,3,2,54,1,66.821
1,48,2241,4,0,26.5,0,18.399
1,48,4399,1,0,219.5,0,188.136563876652
1,48,4399,2,0,51.5,0,46.374
1,48,4399,3,0,55,0,49.501
1,48,4399,4,0,188,0,25.826
1,48,6400,1,2,109,1,152.180616740088
1,48,6400,2,0,57,0,89.609
1,48,6400,3,2,28.5,1,171.83
1,48,6400,4,0,58,0,46.471
1,49,3088,1,2,168,1,159.149779735683
1,49,3088,2,0,30,0,31.37
1,49,3088,3,0,157.5,0,153.38
1,49,3088,4,0,102.5,0,7.412
1,49,7623,1,3,270,1,236.224669603524
1,49,7623,2,3,16.5,1,64.163
1,49,7623,3,3,14.5,1,54.231
1,49,7623,4,0,171,0,10.046
1,49,8004,1,2,18.5,1,142.594713656388
1,49,8004,2,2,116.5,1,132.04
1,49,8004,3,0,68,0,62.607
1,49,8004,4,0,126,0,20.645
1,50,2652,1,2,86,1,280.039647577092
1,50,2652,2,0,23,0,30.292
1,50,2652,3,0,159,0,153.93
1,50,2652,4,0,130.5,0,5.48
1,50,5754,1,0,114,0,95.3436123348018
1,50,5754,2,0,36,0,30.516
1,50,5754,3,3,46.5,1,63.153
1,50,5754,4,0,44,0,33.394
1,50,7623,1,3,235.5,1,236.224669603524
1,50,7623,2,0,69.5,0,64.163
1,50,7623,3,3,10,1,54.231
1,50,7623,4,2,95.5,1,10.046
1,51,3088,1,0,186,0,159.149779735683
1,51,3088,2,0,30,0,31.37
1,51,3088,3,0,157.5,0,153.38
1,51,3088,4,0,102.5,0,7.412
1,51,4774,1,1,112,1,222.84140969163
1,51,4774,2,0,44,0,56.349
1,51,4774,3,3,35,1,79.836
1,51,4774,4,0,35,0,25.697
1,51,7042,1,3,28,1,175.599118942731
1,51,7042,2,0,165.5,0,160.44
1,51,7042,3,0,114,0,108.78
1,51,7042,4,0,67,0,55.058
1,52,1418,1,2,21,1,208.013215859031
1,52,1418,2,0,85,0,79.532
1,52,1418,3,3,231,1,275.09
1,52,1418,4,0,81,0,67.384
1,52,4774,1,2,18,1,222.84140969163
1,52,4774,2,0,44,0,56.349
1,52,4774,3,0,67.5,0,79.836
1,52,4774,4,0,35,0,25.697
1,52,8004,1,0,163.5,0,142.594713656388
1,52,8004,2,0,137.5,0,132.04
1,52,8004,3,0,68,0,62.607
1,52,8004,4,3,13,1,20.645
1,53,1600,1,2,85.5,1,143.237885462555
1,53,1600,2,3,8,1,45.193
1,53,1600,3,0,55,0,49.757
1,53,1600,4,0,33.5,0,24.596
1,53,8004,1,3,16.5,1,142.594713656388
1,53,8004,2,2,80.5,1,132.04
1,53,8004,3,2,27,1,62.607
1,53,8004,4,3,111.5,1,20.645
1,53,8864,1,2,139,1,258.885462555066
1,53,8864,2,2,24.5,1,51.151
1,53,8864,3,0,43,0,37.675
1,53,8864,4,0,133,0,27.719
1,54,6801,1,3,141,1,139
1,54,6801,2,0,45,0,40.664
1,54,6801,3,0,65,0,61.086
1,54,6801,4,3,27,1,128.55
1,54,7623,1,3,27.5,1,236.224669603524
1,54,7623,2,0,69.5,0,64.163
1,54,7623,3,0,59.5,0,54.231
1,54,7623,4,0,171,0,10.046
1,54,8989,1,3,104.5,1,373.95154185022
1,54,8989,2,3,140,1,151.39
1,54,8989,3,2,126,1,161.14
1,54,8989,4,0,224,0,11.83
1,55,1600,1,0,168.5,0,143.237885462555
1,55,1600,2,3,15,1,45.193
1,55,1600,3,0,55,0,49.757
1,55,1600,4,0,33.5,0,24.596
1,55,3472,1,2,6.5,1,126.286343612335
1,55,3472,2,0,41,0,47.274
1,55,3472,3,0,103,0,113.31
1,55,3472,4,2,15,1,48.932
1,55,6400,1,2,17.5,1,152.180616740088
1,55,6400,2,0,57,0,89.609
1,55,6400,3,2,30.5,1,171.83
1,55,6400,4,2,11,1,46.471
1,56,1600,1,3,61.5,1,143.237885462555
1,56,1600,2,3,16.5,1,45.193
1,56,1600,3,2,33,1,49.757
1,56,1600,4,0,33.5,0,24.596
1,56,4399,1,2,30,1,188.136563876652
1,56,4399,2,0,51.5,0,46.374
1,56,4399,3,0,55,0,49.501
1,56,4399,4,3,128.5,1,25.826
1,56,7042,1,2,7.5,1,175.599118942731
1,56,7042,2,0,165.5,0,160.44
